      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 MAR  6   21 04 10.7 38.4897 20.5014   22         2.0
 2021 MAR  6   21 25 37.6 37.8365 23.9342    5         2.2
 2021 MAR  6   21 43 24.2 41.6866 20.8057    5         2.9
 2021 MAR  6   22 04 52.5 37.4112 20.4245   11         3.3
 2021 MAR  6   22 31 19.4 39.7719 22.0940    6         2.9
 2021 MAR  6   22 34 27.3 39.7426 22.0921    7         1.9
 2021 MAR  6   22 47 23.1 39.7906 22.0551    5         2.4
 2021 MAR  6   22 57 09.0 38.1258 21.9713   51         1.7
 2021 MAR  6   23 06 24.7 38.3112 22.0770   11         1.6
 2021 MAR  6   23 21 54.8 37.6236 20.9427   19         2.1
 2021 MAR  6   23 22 53.8 39.8067 22.0409    8         3.0
 2021 MAR  7   00 07 22.6 34.6225 23.9639    6         1.8
 2021 MAR  7   00 13 10.7 35.7925 23.4384   13         1.5
 2021 MAR  7   00 30 43.0 39.6410 22.1681    6         2.6
 2021 MAR  7   00 32 08.2 35.0931 25.2988   12         2.2
 2021 MAR  7   00 54 07.7 39.7023 22.1910    8         2.3
 2021 MAR  7   00 55 55.1 39.6428 22.2368    6         2.2
 2021 MAR  7   01 11 16.9 38.3322 21.8491    9         0.9
 2021 MAR  7   01 18 55.5 39.7911 22.0262    7         2.8
 2021 MAR  7   01 19 51.0 39.8016 21.9781   11         2.5
 2021 MAR  7   01 27 29.6 38.3382 23.4700   10         1.3
 2021 MAR  7   01 33 26.3 37.2908 21.4174   28         2.5
 2021 MAR  7   02 15 56.3 38.2961 21.1409   19         1.9
 2021 MAR  7   02 32 50.4 39.7673 22.0775    6         2.3
 2021 MAR  7   02 45 35.0 39.6364 22.2240    6         2.3
 2021 MAR  7   02 58 08.7 39.7682 22.0638    6         2.1
 2021 MAR  7   03 07 55.8 38.3597 22.0834    9         1.4
 2021 MAR  7   03 16 40.4 35.7925 23.3652   24         1.5
 2021 MAR  7   03 16 56.4 39.6584 22.2221    6         2.5
 2021 MAR  7   03 34 51.7 39.7874 22.0912    7         2.7
 2021 MAR  7   03 46 08.9 39.7874 22.0042   10         2.4
 2021 MAR  7   04 43 30.1 39.8433 22.0024    9         3.2
 2021 MAR  7   04 57 09.4 39.7765 22.0711    7         2.0
 2021 MAR  7   04 59 51.0 39.7527 22.2276   10         2.6
 2021 MAR  7   05 07 37.7 39.8410 21.9901    6         2.7
 2021 MAR  7   05 09 50.0 39.8250 22.0335    8         1.7
 2021 MAR  7   05 43 35.3 38.0209 21.3785   15         1.6
 2021 MAR  7   05 46 23.6 39.6281 22.2432    9         2.8
 2021 MAR  7   05 49 54.6 39.8003 22.1205    8         3.2
 2021 MAR  7   05 54 30.2 39.6213 22.2336    9         2.6
 2021 MAR  7   06 08 43.9 39.6194 22.2885    4         3.7
 2021 MAR  7   06 45 03.8 38.1857 22.7206   18         1.8
 2021 MAR  7   07 08 59.8 39.7865 22.0088   10         2.1
 2021 MAR  7   07 13 53.5 38.3665 22.1077    8         1.9
 2021 MAR  7   07 19 52.9 39.6996 21.9942   18         2.4
 2021 MAR  7   07 31 49.0 39.6922 22.0161   17         2.3
 2021 MAR  7   07 48 59.1 39.6231 22.2208    6         2.3
 2021 MAR  7   08 00 17.8 37.4396 20.4987   15         2.2
 2021 MAR  7   08 14 56.8 39.8163 22.0807    6         2.7
 2021 MAR  7   08 28 09.2 39.7224 22.0189   18         3.6
 2021 MAR  7   08 48 27.1 39.7618 22.0885    7         2.9
 2021 MAR  7   09 09 08.7 38.0525 22.0967   53         2.4
 2021 MAR  7   09 15 58.8 38.3244 21.8578    8         1.4
 2021 MAR  7   09 19 01.2 38.0301 22.0798   55         1.6
 2021 MAR  7   09 41 42.8 39.7073 22.0175   19         2.9
 2021 MAR  7   09 59 30.2 39.7847 22.0628   11         2.6
 2021 MAR  7   11 01 26.5 39.6327 22.2670    7         1.7
 2021 MAR  7   11 02 44.2 39.6758 22.2395    6         1.8
 2021 MAR  7   11 05 27.2 38.3382 21.8532   10         1.2
 2021 MAR  7   11 53 03.1 39.7403 22.2281    7         2.8
 2021 MAR  7   11 57 24.1 39.8103 22.0317    9         2.0
 2021 MAR  7   12 05 41.2 39.7627 22.1397    7         2.5
 2021 MAR  7   12 07 54.6 39.5901 22.2556    6         1.3
 2021 MAR  7   12 19 41.6 39.7366 22.1182   11         1.3
 2021 MAR  7   12 20 38.9 38.7190 23.2860   13         1.6
 2021 MAR  7   12 21 32.6 39.7472 22.1049    7         0.8
 2021 MAR  7   12 26 51.6 39.8351 22.0161    6         2.0
 2021 MAR  7   12 28 25.1 39.8405 22.0143    6         1.6
 2021 MAR  7   12 34 26.2 39.8305 22.0107   12         2.1
 2021 MAR  7   12 34 55.6 39.7989 22.0633    8         2.2
 2021 MAR  7   12 36 33.3 39.7581 22.0967    7         2.4
 2021 MAR  7   13 16 08.7 38.1578 20.5824   18         2.8
 2021 MAR  7   13 20 53.1 38.1615 20.5705   18         1.9
 2021 MAR  7   13 46 04.7 37.4954 20.9555    9         1.9
 2021 MAR  7   13 46 34.8 34.8074 24.9692   22         3.1
 2021 MAR  7   13 50 40.1 34.6646 24.8630   30         2.4
 2021 MAR  7   14 31 38.3 38.3830 22.0088    8         1.3
 2021 MAR  7   14 48 06.4 39.6529 22.2469    6         3.0
 2021 MAR  7   14 52 48.3 39.7993 22.0683   10         2.0
 2021 MAR  7   15 16 13.4 39.8048 22.0226    9         2.6
 2021 MAR  7   15 21 02.9 39.7984 22.0564    7         2.5
 2021 MAR  7   15 38 02.0 38.6028 21.5346    8         2.4
 2021 MAR  7   16 01 14.1 39.7609 22.1040    6         2.7
 2021 MAR  7   16 03 44.4 39.7838 21.9731    8         1.7
 2021 MAR  7   16 13 57.3 38.3519 22.1141    8         1.3
 2021 MAR  7   16 24 14.7 35.4849 24.3137   73         2.7
 2021 MAR  7   16 53 14.2 39.7462 22.1205    7         2.0
 2021 MAR  7   16 55 52.9 39.7586 22.0816    6         1.8
 2021 MAR  7   17 18 45.2 37.8273 26.3823   12         3.0
 2021 MAR  7   17 29 11.0 39.7142 22.0665    8         2.5
 2021 MAR  7   17 35 17.5 39.8222 22.0107    6         2.3
 2021 MAR  7   17 51 36.1 39.8296 21.9951   12         2.3
 2021 MAR  7   18 11 16.2 39.7911 21.9502    5         2.6
 2021 MAR  7   18 26 14.1 39.7961 22.0715    6         2.0
 2021 MAR  7   18 38 01.6 39.7444 22.1242   10         2.4
 2021 MAR  7   19 11 00.9 39.7206 22.1388    9         2.2
 2021 MAR  7   19 12 36.1 39.6281 22.2514    6         2.5
 2021 MAR  7   19 20 03.7 38.3144 21.8175   11         1.0
 2021 MAR  7   19 21 10.3 39.7005 22.1489   10         1.8
 2021 MAR  7   19 21 20.6 38.3125 21.8019   13         1.3
 2021 MAR  7   19 27 24.0 39.6153 22.2313    6         2.3
 2021 MAR  7   19 29 05.5 39.6025 22.2459    6         1.4
 2021 MAR  7   19 38 11.6 34.9283 25.8463   30         2.8
 2021 MAR  7   19 45 04.3 39.6364 22.2240    7         2.1
 2021 MAR  7   19 46 09.1 37.6144 20.9354   20         2.1
 2021 MAR  7   20 12 53.7 38.4453 23.3812   18         1.3
 2021 MAR  7   20 20 11.1 39.6501 22.2432    7         1.8
 2021 MAR  7   20 30 02.0 38.0040 21.9868    9         1.2
 2021 MAR  7   20 52 54.8 39.7421 22.0981    7         1.8
 2021 MAR  7   20 55 46.8 39.7421 22.1988   15         2.4
 2021 MAR  7   21 06 43.8 39.6208 22.2157   12         1.9
 2021 MAR  7   21 11 24.0 38.3418 21.9868   13         2.0
 2021 MAR  7   21 32 41.4 38.9264 26.0394   79         2.4
 2021 MAR  7   21 37 18.6 36.9022 21.5067   17         2.4
 2021 MAR  7   21 48 56.5 34.9017 23.1097   18         2.3
 2021 MAR  7   21 59 56.9 39.0207 24.2422   16         1.9
 2021 MAR  7   22 07 43.4 38.3281 21.5804   12         0.9
 2021 MAR  7   22 29 08.8 39.7275 23.5153   17         3.7
 2021 MAR  7   22 38 35.2 39.6176 22.2519    9         1.8
 2021 MAR  7   22 39 40.3 38.1587 23.4526   16         2.2
 2021 MAR  7   22 43 53.3 39.7952 22.0486    8         2.3
 2021 MAR  7   22 44 17.4 39.6735 22.2089   11         2.8
 2021 MAR  7   23 10 12.8 39.7682 22.0619    7         2.3
 2021 MAR  7   23 25 38.9 39.7375 23.5144   23         2.3
 2021 MAR  7   23 32 31.9 37.6053 20.3366    5         2.4
 2021 MAR  7   23 38 11.0 38.1752 22.7238   16         2.3
 2021 MAR  7   23 48 30.8 39.7234 23.5423   15         2.2
 2021 MAR  8   00 13 00.9 39.7728 22.1617    6         1.9
 2021 MAR  8   00 20 17.7 39.7133 22.0592    6         1.7
 2021 MAR  8   00 23 34.5 39.1196 26.0056   32         2.0
 2021 MAR  8   00 34 17.5 37.1109 22.1310   10         2.1
 2021 MAR  8   01 27 01.5 36.5909 21.7740   10         1.8
 2021 MAR  8   01 55 18.4 40.5963 20.4730   15         1.9
 2021 MAR  8   01 56 08.3 38.3830 22.0354   14         3.9
 2021 MAR  8   02 19 08.4 39.7636 22.0766    8         2.8
 2021 MAR  8   02 25 29.6 38.4077 22.0720   10         1.7
 2021 MAR  8   02 35 02.8 38.3922 22.0702    8         1.8
 2021 MAR  8   02 42 39.9 39.7234 23.5579   18         2.5
 2021 MAR  8   02 56 09.1 39.7879 22.0340    9         2.2
 2021 MAR  8   02 56 51.1 39.7462 22.1297    6         1.5
 2021 MAR  8   03 25 22.9 39.7527 22.1077    7         2.5
 2021 MAR  8   03 26 04.7 38.0946 22.2533    7         3.0
 2021 MAR  8   03 38 15.0 38.0388 22.2084   10         1.5
 2021 MAR  8   03 56 02.1 38.3821 22.0518   13         1.9
 2021 MAR  8   04 00 07.4 38.0621 22.2052    9         1.6
 2021 MAR  8   04 28 03.4 39.8241 22.0409    7         3.1
 2021 MAR  8   05 03 51.4 39.8213 22.0537    6         3.5
 2021 MAR  8   05 11 42.6 39.7710 22.0775    7         2.1
 2021 MAR  8   05 35 59.7 39.7948 22.0857    7         2.0
 2021 MAR  8   05 38 42.1 39.6959 22.2075    8         2.6
 2021 MAR  8   05 46 39.4 38.4700 23.4142   13         2.2
 2021 MAR  8   06 03 15.9 39.2821 21.2801   14         2.1
 2021 MAR  8   06 06 18.6 35.7623 22.1942   30         3.1
 2021 MAR  8   06 43 52.4 38.8687 26.0165   10         2.4
 2021 MAR  8   06 57 32.0 38.3171 21.8852   13         1.1
 2021 MAR  8   07 13 27.4 39.7536 22.0930    6         1.9
 2021 MAR  8   07 14 13.5 39.8103 22.0546    7         1.4
 2021 MAR  8   07 22 47.8 39.7792 22.0793    8         2.5
 2021 MAR  8   07 41 47.1 39.8483 21.9919    6         1.5
 2021 MAR  8   07 42 03.0 39.8131 22.0097   10         2.4
 2021 MAR  8   07 42 45.7 39.7435 22.1031    6         2.0
 2021 MAR  8   07 44 22.3 39.6364 22.2203    6         1.8
 2021 MAR  8   07 54 29.0 38.3382 22.0995   15         2.4
 2021 MAR  8   08 22 12.6 38.0699 22.2203    6         2.0
 2021 MAR  8   08 22 19.0 39.7600 22.0702    6         2.6
 2021 MAR  8   08 33 29.0 38.3775 22.0656    8         2.0
 2021 MAR  8   09 04 17.1 39.8232 22.0161   10         2.0
 2021 MAR  8   09 04 46.8 39.8190 22.0285    8         2.3
 2021 MAR  8   09 14 25.6 39.6886 22.2093    9         2.2
 2021 MAR  8   09 17 00.1 39.8607 21.9969    7         2.0
 2021 MAR  8   09 17 49.0 39.6858 22.2203    7         1.9
 2021 MAR  8   09 26 53.9 37.2583 20.4272   18         2.4
 2021 MAR  8   09 29 59.0 39.7197 22.1297    6         2.3
 2021 MAR  8   09 33 38.5 39.7989 22.0322   10         1.7
 2021 MAR  8   09 51 24.5 37.6364 24.1415    9         1.0
 2021 MAR  8   09 52 04.7 39.7952 22.0633    6         2.3
 2021 MAR  8   09 54 11.5 39.7426 22.1214    6         3.2
 2021 MAR  8   10 16 06.3 39.8039 22.0711    5         3.0
 2021 MAR  8   10 46 38.4 38.3432 22.1219   13         1.4
 2021 MAR  8   10 49 05.5 36.8326 21.4481    6         3.0
 2021 MAR  8   11 52 24.8 39.8076 22.0134    8         2.6
 2021 MAR  8   11 58 04.3 37.9752 22.0139   13         1.2
 2021 MAR  8   12 25 17.2 39.8149 22.0216   10         2.0
 2021 MAR  8   13 21 40.4 40.0433 19.7113    6         2.5
 2021 MAR  8   14 10 05.8 39.7128 22.0999    9         2.4
 2021 MAR  8   14 21 53.3 38.3560 22.0816   13         1.9
 2021 MAR  8   14 37 22.4 39.7733 22.0926    6         2.1
 2021 MAR  8   14 38 44.1 39.7728 22.1333    4         2.4
 2021 MAR  8   14 42 17.4 39.7540 22.2089    4         2.3
 2021 MAR  8   15 21 11.1 37.1457 22.1109    7         1.9
 2021 MAR  8   15 34 41.5 39.8062 22.0798    7         2.5
 2021 MAR  8   16 05 53.6 39.7609 22.2176    6         2.3
 2021 MAR  8   16 06 31.6 39.8209 22.0212    8         2.1
 2021 MAR  8   16 07 14.5 39.7417 22.1480    7         1.5
 2021 MAR  8   16 21 10.1 39.6414 22.2226    5         2.9
 2021 MAR  8   16 34 59.0 39.7110 23.5226   14         2.1
 2021 MAR  8   17 00 48.1 39.8305 22.0335    6         2.6
 2021 MAR  8   17 31 48.9 39.7980 22.0844    6         2.1
 2021 MAR  8   17 34 04.9 39.7897 22.0908    5         2.3
 2021 MAR  8   17 39 31.9 39.6263 22.2285    6         2.1
 2021 MAR  8   17 58 40.8 38.0667 23.7717   12         1.5
 2021 MAR  8   18 00 45.2 39.6085 22.2665    6         3.6
 2021 MAR  8   18 07 03.7 39.6140 22.2665    6         3.6
 2021 MAR  8   18 27 22.6 34.6866 25.4050   16         2.6
 2021 MAR  8   18 34 21.0 39.7032 22.0940   10         3.9
 2021 MAR  8   19 14 15.3 39.6007 22.2350   10         2.1
 2021 MAR  8   19 28 19.4 39.6245 22.2377    8         2.7
 2021 MAR  8   19 34 24.5 38.2663 22.1109   10         1.1
 2021 MAR  8   19 57 28.8 39.7275 22.0724    6         2.1
 2021 MAR  8   20 00 45.6 39.5865 22.2501    7         2.0
 2021 MAR  8   20 05 00.0 39.5897 22.2368    6         1.9
 2021 MAR  8   20 12 26.1 39.5929 22.2418    6         2.2
 2021 MAR  8   20 22 51.2 39.7069 22.0674    8         1.8
 2021 MAR  8   20 31 18.2 39.7861 22.0761    7         1.8
 2021 MAR  8   20 39 56.4 39.5943 22.2414    6         1.5
 2021 MAR  8   20 48 09.2 39.7092 22.1310   10         1.7
 2021 MAR  8   20 54 59.2 37.3773 20.7660   14         1.8
 2021 MAR  8   21 04 35.1 38.7762 23.2489   14         1.9
 2021 MAR  8   21 10 15.7 38.3492 22.0894   13         1.0
 2021 MAR  8   21 14 47.5 39.7824 22.0267    4         2.0
 2021 MAR  8   21 22 00.9 39.7847 22.0692    6         2.4
 2021 MAR  8   21 49 39.6 38.5048 21.5318   17         2.6
 2021 MAR  8   22 22 54.2 39.0628 26.1026   15         1.4
 2021 MAR  8   22 56 04.2 39.6094 22.2656    8         2.5
 2021 MAR  8   22 56 27.2 39.6080 22.2340    5         2.5
 2021 MAR  8   23 03 43.6 38.3665 22.0985    7         1.5
 2021 MAR  8   23 13 04.3 39.7971 22.0670    6         2.1
 2021 MAR  8   23 18 19.7 38.0553 23.7666   12         1.0
 2021 MAR  8   23 40 23.5 39.7998 21.8994    9         2.0
 2021 MAR  8   23 42 57.7 38.3350 21.8408   10         1.1
 2021 MAR  8   23 51 47.1 38.9264 26.0504   14         2.0
 2021 MAR  8   23 59 19.7 39.6236 22.2176    9         1.9
 2021 MAR  9   00 00 40.8 39.6767 22.2395   11         2.3
 2021 MAR  9   00 03 25.2 34.7433 24.0518   21         1.9
 2021 MAR  9   00 36 50.9 39.6236 22.2505    6         2.2
 2021 MAR  9   00 37 55.6 39.7737 22.0409    7         1.3
 2021 MAR  9   00 50 15.4 39.8318 22.0139    6         2.1
 2021 MAR  9   00 52 30.5 39.6437 22.2203    6         2.1
 2021 MAR  9   00 54 12.6 39.7078 22.2176    6         1.0
 2021 MAR  9   00 55 10.9 39.7160 22.1590    8         1.0
 2021 MAR  9   01 03 37.1 39.8323 22.0171    6         2.2
 2021 MAR  9   01 21 53.0 39.8122 21.9310    8         2.4
 2021 MAR  9   01 24 18.0 39.8080 22.0633    6         1.9
 2021 MAR  9   01 39 13.6 39.6190 22.2395    6         2.0
 2021 MAR  9   01 40 29.8 39.7916 22.0670    6         1.7
 2021 MAR  9   01 43 08.4 39.8369 22.0235   12         1.1
 2021 MAR  9   02 05 22.4 39.8186 22.0390    8         2.0
 2021 MAR  9   02 09 08.5 39.8067 22.0546    6         2.4
 2021 MAR  9   02 15 09.6 39.0326 26.0980   12         1.7
 2021 MAR  9   02 22 53.9 39.8241 22.0042    7         1.7
 2021 MAR  9   02 26 59.4 39.8341 22.0180    5         2.7
 2021 MAR  9   02 29 04.1 39.7641 22.1109    6         1.6
 2021 MAR  9   02 30 28.3 37.1292 28.0289   10         2.3
 2021 MAR  9   02 53 36.6 38.3519 22.0729   13         1.8
 2021 MAR  9   03 19 55.3 39.8337 22.0706    6         2.1
 2021 MAR  9   03 29 07.6 38.3812 22.0317    6         1.7
 2021 MAR  9   04 26 19.5 39.8213 22.0161    7         2.5
 2021 MAR  9   04 30 32.9 39.8680 21.9667    9         3.7
 2021 MAR  9   04 30 36.0 34.4073 25.9735   19         4.1
 2021 MAR  9   04 37 01.5 39.7920 22.0802    8         2.0
 2021 MAR  9   04 45 05.6 38.3546 22.0802   11         2.0
 2021 MAR  9   05 20 41.1 39.8479 21.9566    6         2.7
 2021 MAR  9   05 29 40.9 39.8254 21.9983    6         2.3
 2021 MAR  9   05 32 58.6 37.7055 21.7516   22         1.8
 2021 MAR  9   05 50 38.5 38.3386 21.9177    7         0.6
 2021 MAR  9   06 18 45.1 38.2755 22.3581   12         1.6
 2021 MAR  9   06 39 12.1 36.4874 28.8409   12         3.4
 2021 MAR  9   06 46 15.0 39.8506 22.0235    5         2.9
 2021 MAR  9   06 51 46.4 39.7691 22.0757    7         2.4
 2021 MAR  9   07 19 22.2 39.7435 22.1974   15         2.2
 2021 MAR  9   07 29 33.9 39.7769 21.9809    8         2.0
 2021 MAR  9   07 54 08.3 39.7343 22.1251    6         1.9
 2021 MAR  9   07 57 57.3 39.8584 21.9873   12         2.5
 2021 MAR  9   08 26 11.0 34.8184 23.7717   30         2.8
 2021 MAR  9   08 32 44.6 39.8584 21.9873   13         2.5
 2021 MAR  9   08 41 47.7 34.9667 25.4214   35         1.9
 2021 MAR  9   09 26 33.7 38.3556 22.1196    9         1.7
 2021 MAR  9   09 46 01.3 39.7893 22.0930    9         3.2
 2021 MAR  9   10 03 02.6 38.1821 20.4300   12         2.2
 2021 MAR  9   11 04 26.2 34.7589 23.4210   20         2.6
 2021 MAR  9   11 34 20.5 38.9786 21.7191   11         2.0
 2021 MAR  9   11 45 47.5 39.6062 22.2304    7         3.3
 2021 MAR  9   11 59 48.8 36.5570 23.3148   48         2.3
 2021 MAR  9   12 31 55.9 39.6977 22.2606    7         3.1
 2021 MAR  9   12 39 06.7 37.4373 21.6856   15         1.9
 2021 MAR  9   12 42 56.8 37.5394 20.6772   15         2.7
 2021 MAR  9   12 45 53.0 39.8250 22.0216    8         2.3
 2021 MAR  9   13 12 25.5 39.6483 22.2414    8         2.3
 2021 MAR  9   13 15 20.6 39.6117 22.2139    7         2.9
 2021 MAR  9   13 40 49.2 38.3812 22.0711   12         1.4
 2021 MAR  9   14 18 16.8 39.8241 22.0143    6         2.9
 2021 MAR  9   14 23 57.6 39.7939 22.0061    8         2.0
 2021 MAR  9   14 37 45.4 39.8112 22.0418   10         2.4
 2021 MAR  9   14 39 06.3 38.2237 21.8001   24         2.0
 2021 MAR  9   14 59 16.8 35.3833 22.6538   73         2.8
 2021 MAR  9   15 32 02.8 39.8232 22.0226    8         2.5
 2021 MAR  9   15 58 44.0 39.8378 22.0390    6         3.2
 2021 MAR  9   16 03 21.5 39.7147 23.5062   20         2.4
 2021 MAR  9   16 03 42.9 39.7792 22.0967    6         1.8
 2021 MAR  9   16 10 59.4 39.7371 22.2780   10         2.3
 2021 MAR  9   16 43 25.5 38.9465 26.1365   12         2.0
 2021 MAR  9   16 45 42.2 39.8268 22.0152    8         2.6
 2021 MAR  9   16 54 03.0 39.6034 22.2295    7         2.1
 2021 MAR  9   17 03 45.8 39.8314 22.0171    7         1.9
 2021 MAR  9   17 08 25.5 39.8396 22.0390    6         2.9
 2021 MAR  9   17 37 01.0 39.8268 22.0445    8         2.3
 2021 MAR  9   17 57 03.8 37.2675 20.4730    8         2.3
 2021 MAR  9   18 08 03.3 39.9010 22.0015    6         2.6
 2021 MAR  9   18 24 03.1 39.8232 22.0345    6         2.3
 2021 MAR  9   18 24 26.0 39.8277 22.0134    6         2.4
 2021 MAR  9   19 04 30.3 39.7929 22.0436   10         2.8
 2021 MAR  9   19 25 27.2 39.7920 22.0354    6         2.1
 2021 MAR  9   19 28 46.1 39.8351 21.9951    3         2.4
 2021 MAR  9   20 52 29.6 39.7293 22.0706    9         2.7
 2021 MAR  9   21 01 56.8 38.3125 21.8156   10         1.7
 2021 MAR  9   21 05 39.0 38.3080 21.8047   12         0.9
 2021 MAR  9   21 13 24.5 39.6062 22.1324    6         2.1
 2021 MAR  9   21 22 37.0 39.7783 22.0702    9         2.1
 2021 MAR  9   21 38 01.5 39.5924 22.2276    8         2.0
 2021 MAR  9   21 48 21.7 39.8012 22.0528    7         2.3
 2021 MAR  9   21 56 44.7 39.8222 21.9997    8         2.2
 2021 MAR  9   22 00 59.9 39.7701 22.1471    7         1.4
 2021 MAR  9   22 09 07.9 38.5634 21.6389   15         1.4
 2021 MAR  9   22 36 17.9 38.3821 22.3650   14         1.3
 2021 MAR  9   22 44 22.2 39.6153 22.2386    6         2.0
 2021 MAR  9   23 03 32.4 38.0594 22.0230   51         1.6
 2021 MAR  9   23 25 24.6 39.8030 22.0436    8         2.4
 2021 MAR  9   23 35 15.5 39.8250 22.0116    6         2.7
 2021 MAR 10   00 07 58.7 39.7829 22.0985    8         1.8
 2021 MAR 10   00 13 34.0 40.1266 19.8148    6         2.7
 2021 MAR 10   00 44 26.0 38.4352 21.8303    8         1.5
 2021 MAR 10   01 02 59.3 39.8085 22.0299    6         1.6
 2021 MAR 10   01 16 17.1 37.6089 22.1347   53         1.6
 2021 MAR 10   01 18 28.7 39.8195 22.0711    5         2.1
 2021 MAR 10   01 22 27.5 39.8369 22.0079    5         2.0
 2021 MAR 10   01 28 00.8 39.8410 22.0230    5         2.7
 2021 MAR 10   01 32 55.8 39.8442 21.9969    7         1.5
 2021 MAR 10   01 43 52.9 39.7307 22.1727    8         2.9
 2021 MAR 10   01 51 53.2 38.3803 22.0821   11         1.8
 2021 MAR 10   01 53 49.2 38.8596 26.0220    8         1.9
 2021 MAR 10   02 04 30.0 38.3858 22.0363    8         1.1
 2021 MAR 10   02 05 17.2 39.7202 22.2061    8         2.5
 2021 MAR 10   02 10 57.3 38.3784 22.0638    7         2.6
 2021 MAR 10   02 19 30.6 38.3766 22.0839   10         1.8
 2021 MAR 10   02 19 34.6 39.5938 22.1054    5         1.5
 2021 MAR 10   02 22 18.3 38.3450 21.8655    9         1.3
 2021 MAR 10   02 47 45.6 38.3762 22.0834   11         1.1
 2021 MAR 10   02 48 42.6 39.7289 22.1837   10         1.7
 2021 MAR 10   02 50 31.1 38.3336 21.8779   11         1.1
 2021 MAR 10   02 57 06.1 39.6730 22.2478   12         1.7
 2021 MAR 10   03 06 28.6 38.3839 22.0985    8         1.1
 2021 MAR 10   03 08 36.5 38.3574 22.0830   10         1.6
 2021 MAR 10   03 22 07.2 39.8085 22.0692    8         3.1
 2021 MAR 10   03 24 41.6 34.5657 24.6542   30         2.3
 2021 MAR 10   03 29 37.1 40.8476 23.0388   14         1.2
 2021 MAR 10   03 31 27.6 38.3926 22.0798    8         1.7
 2021 MAR 10   03 32 04.0 39.7975 22.1049    9         1.9
 2021 MAR 10   03 35 17.4 38.3803 22.0811   11         1.5
 2021 MAR 10   04 19 31.7 38.4087 22.0473   12         0.6
 2021 MAR 10   04 20 42.5 38.3958 22.0720   10         1.1
 2021 MAR 10   04 34 45.6 39.8282 20.6058    8         2.1
 2021 MAR 10   05 07 28.1 39.7820 22.0747    7         2.7
 2021 MAR 10   05 30 21.1 38.3867 22.0354    9         0.9
 2021 MAR 10   05 49 10.9 39.7719 22.0601    8         2.3
 2021 MAR 10   06 25 26.6 39.8268 21.9987    6         2.2
 2021 MAR 10   06 34 02.1 37.4432 21.8829    7         1.9
 2021 MAR 10   06 39 18.5 39.8021 21.9054    6         2.0
 2021 MAR 10   07 04 09.9 39.7939 21.7415   15         2.5
 2021 MAR 10   07 21 55.2 34.9283 24.0115    9         1.8
 2021 MAR 10   07 31 26.1 37.6300 22.6227   63         3.1
 2021 MAR 10   07 49 27.3 39.7137 21.9708   17         2.6
 2021 MAR 10   08 34 29.8 34.7919 23.8312   17         2.0
 2021 MAR 10   09 28 31.2 39.7678 22.0999    8         1.2
 2021 MAR 10   09 28 46.1 39.6208 22.2258    6         2.2
 2021 MAR 10   09 33 08.8 39.6227 22.2057    6         2.1
 2021 MAR 10   09 50 49.9 39.6240 22.2510    7         2.0
 2021 MAR 10   11 59 41.0 39.7920 22.0390    6         1.9
 2021 MAR 10   12 51 02.2 34.9768 25.9680   11         2.9
 2021 MAR 10   13 22 56.2 39.7165 22.1658    8         2.3
 2021 MAR 10   13 27 16.7 39.8085 22.0665    7         2.7
 2021 MAR 10   13 27 24.9 34.4769 26.1017   16         2.7
 2021 MAR 10   13 31 15.4 39.8296 22.0143    6         2.3
 2021 MAR 10   13 42 17.8 37.7129 21.4027   18         2.8
 2021 MAR 10   14 00 11.6 38.0740 23.6490    9         1.0
 2021 MAR 10   14 08 03.0 37.7243 21.4279   20         1.8
 2021 MAR 10   14 08 43.1 38.2736 22.3911   12         1.6
 2021 MAR 10   14 25 02.1 39.7041 22.2047    8         2.5
 2021 MAR 10   14 30 11.2 39.8222 22.0015    5         2.2
 2021 MAR 10   14 35 32.5 39.8241 22.0235    9         2.0
 2021 MAR 10   14 38 47.7 39.6986 22.1800   11         1.7
 2021 MAR 10   14 41 00.7 39.8135 22.0065    6         1.2
 2021 MAR 10   14 43 09.2 39.7504 22.1393    8         1.1
 2021 MAR 10   15 24 42.0 38.6636 20.5637   10         2.0
 2021 MAR 10   15 45 34.5 38.9200 21.1404   19         1.6
 2021 MAR 10   16 00 26.5 38.3739 22.0757   10         1.0
 2021 MAR 10   16 14 37.6 37.9541 21.1377   18         1.7
 2021 MAR 10   18 24 34.2 39.8122 22.0107    6         2.6
 2021 MAR 10   19 02 23.8 39.0143 26.1090   12         1.8
 2021 MAR 10   19 35 56.7 38.0942 22.0688   51         1.4
 2021 MAR 10   19 47 55.1 38.3157 21.8234   10         0.9
 2021 MAR 10   19 48 14.2 39.7769 22.0798    8         2.1
 2021 MAR 10   20 04 15.9 38.9580 21.0915   12         1.6
 2021 MAR 10   20 13 55.5 39.7256 22.1713    6         2.6
 2021 MAR 10   20 26 23.9 39.7183 22.0926    5         2.6
 2021 MAR 10   20 49 15.5 37.6616 23.4984    6         1.2
 2021 MAR 10   21 03 38.7 39.8131 22.0226    9         2.8
 2021 MAR 10   21 10 31.4 39.8167 22.0079    9         2.0
 2021 MAR 10   21 11 34.8 37.6909 23.5176    7         1.2
 2021 MAR 10   21 46 35.5 39.8286 21.9576    6         2.2
 2021 MAR 10   21 49 28.7 38.6966 24.8172   15         1.9
